Property,Bypass Percentage,Bypass Numbers,City Percentage,City Numbers
Mon,0%,0,100%,3
Tue,28.88%,26,71.11%,64
Wed,0%,0,100%,3
Thu,0.00%,0,100%,2
Fri,16.46%,13,83.54%,66
