Day,Bypass Percentage,Bypass Numbers,City Percentage,City Numbers
Mon,100%,1,0%,0
Tue,94.57%,122,5.43%,7
Wed,100%,3,0%,0
Thu,100%,2,0%,0
Fri,0%,0,0%,0
