Forks,of shipments,Avg Google ETA,Fork distance (miles),Avg fork transit time
KDC → Louisville Bypass → LockBourne,128,4hr 4 min,32.5,33 mins
KDC → Louisville City → LockBourne,7,3hr and 57 min,28.7,24 mins
KDC → Cincinnati Bypass → LockBourne,23,3hr and 46min,34,40 mins
KDC → Cincinnati City → LockBourne,112,4hr 8 min,28.5,42 mins
