Forks,of shipments,Avg Google ETA,Fork distance (miles),Avg fork transit time
KDC → Nashville Bypass → OliveBranch,55,5hr and 47min,14.9,14 - 20 mins
KDC → Nashville City → OliveBranch,135,5hr and 45min,12.6,16 - 26 mins
