shipment_id,stop_id,racks,spaces,time spent,% of distance covered_x,name,lat,lon,distance to dest,distance,% of journey covered,% of distance covered_y,time spent in stop 1,Distance in miles,Red Zone ?
sensitech-AE38054,13,13,13,30.06666667,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055",35.9919004,-87.4890382,236.21028739999997,168.3684712,45.62831197,45.79461218,30.06666667,169.0,Yes
sensitech-AE39753,13,13,13,24.9,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055",35.9919004,-87.4890382,236.21028739999997,168.3684712,45.62831197,45.79461218,24.9,169.0,Yes
sensitech-AE41732,13,13,13,34.25,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055",35.9919004,-87.4890382,236.21028739999997,168.3684712,45.62831197,45.79461218,34.25,169.0,Yes
sensitech-AE44036,13,13,13,20.95,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055",35.9919004,-87.4890382,236.21028739999997,168.3684712,45.62831197,45.79461218,20.95,169.0,Yes
sensitech-AE47970,13,13,13,34.85,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055",35.9919004,-87.4890382,236.21028739999997,168.3684712,45.62831197,45.79461218,34.85,169.0,Yes
sensitech-AE49429,13,13,13,32.9,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055",35.9919004,-87.4890382,236.21028739999997,168.3684712,45.62831197,45.79461218,32.9,169.0,Yes
sensitech-AE50980,13,13,13,24.95,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055",35.9919004,-87.4890382,236.21028739999997,168.3684712,45.62831197,45.79461218,24.95,169.0,Yes
sensitech-AE50982,13,13,13,36.46666667,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055",35.9919004,-87.4890382,236.21028739999997,168.3684712,45.62831197,45.79461218,36.46666667,169.0,Yes
sensitech-AE53511,13,13,13,24.91666667,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055",35.9919004,-87.4890382,236.21028739999997,168.3684712,45.62831197,45.79461218,24.91666667,169.0,Yes
sensitech-AE57671,13,13,13,41.05,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055",35.9919004,-87.4890382,236.21028739999997,168.3684712,45.62831197,45.79461218,41.05,169.0,Yes
