shipment_id,stop_id,time spent,max,min,lon,lat,% of distance covered_x,address,name,type,count,lon,lat,distance to dest,distance,% of journey covered,% of distance covered_y,time spent in stop 1,Distance in miles,Red Zone ?
sensitech-AD98797,13,36.56666667,45.0,20.0,-87.4890382,35.9919004,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055","Love's Travel Stop, Dickson, TN","Gas station, Truck repair, Food/ Convenience store",43,-87.4890382,35.9919004,236.2102874,168.3684712,45.62831197,45.79461218,36.56666667,169,Yes
sensitech-AE27117,13,19.98333333,45.0,20.0,-87.4890382,35.9919004,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055","Love's Travel Stop, Dickson, TN","Gas station, Truck repair, Food/ Convenience store",43,-87.4890382,35.9919004,236.2102874,168.3684712,45.62831197,45.79461218,19.98333333,169,Yes
sensitech-AE29326,13,26.68333333,45.0,20.0,-87.4890382,35.9919004,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055","Love's Travel Stop, Dickson, TN","Gas station, Truck repair, Food/ Convenience store",43,-87.4890382,35.9919004,236.2102874,168.3684712,45.62831197,45.79461218,26.68333333,169,Yes
sensitech-AE31332,13,23.81666667,45.0,20.0,-87.4890382,35.9919004,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055","Love's Travel Stop, Dickson, TN","Gas station, Truck repair, Food/ Convenience store",43,-87.4890382,35.9919004,236.2102874,168.3684712,45.62831197,45.79461218,23.81666667,169,Yes
sensitech-AE33707,13,41.3,45.0,20.0,-87.4890382,35.9919004,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055","Love's Travel Stop, Dickson, TN","Gas station, Truck repair, Food/ Convenience store",43,-87.4890382,35.9919004,236.2102874,168.3684712,45.62831197,45.79461218,41.3,169,Yes
sensitech-AE33713,13,38.95,45.0,20.0,-87.4890382,35.9919004,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055","Love's Travel Stop, Dickson, TN","Gas station, Truck repair, Food/ Convenience store",43,-87.4890382,35.9919004,236.2102874,168.3684712,45.62831197,45.79461218,38.95,169,Yes
sensitech-AE38054,13,30.06666667,45.0,20.0,-87.4890382,35.9919004,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055","Love's Travel Stop, Dickson, TN","Gas station, Truck repair, Food/ Convenience store",43,-87.4890382,35.9919004,236.2102874,168.3684712,45.62831197,45.79461218,30.06666667,169,Yes
sensitech-AE39753,13,24.9,45.0,20.0,-87.4890382,35.9919004,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055","Love's Travel Stop, Dickson, TN","Gas station, Truck repair, Food/ Convenience store",43,-87.4890382,35.9919004,236.2102874,168.3684712,45.62831197,45.79461218,24.9,169,Yes
sensitech-AE41732,13,34.25,45.0,20.0,-87.4890382,35.9919004,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055","Love's Travel Stop, Dickson, TN","Gas station, Truck repair, Food/ Convenience store",43,-87.4890382,35.9919004,236.2102874,168.3684712,45.62831197,45.79461218,34.25,169,Yes
sensitech-AE44036,13,20.95,45.0,20.0,-87.4890382,35.9919004,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055","Love's Travel Stop, Dickson, TN","Gas station, Truck repair, Food/ Convenience store",43,-87.4890382,35.9919004,236.2102874,168.3684712,45.62831197,45.79461218,20.95,169,Yes
sensitech-AE47970,13,34.85,45.0,20.0,-87.4890382,35.9919004,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055","Love's Travel Stop, Dickson, TN","Gas station, Truck repair, Food/ Convenience store",43,-87.4890382,35.9919004,236.2102874,168.3684712,45.62831197,45.79461218,34.85,169,Yes
sensitech-AE49429,13,32.9,45.0,20.0,-87.4890382,35.9919004,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055","Love's Travel Stop, Dickson, TN","Gas station, Truck repair, Food/ Convenience store",43,-87.4890382,35.9919004,236.2102874,168.3684712,45.62831197,45.79461218,32.9,169,Yes
sensitech-AE50980,13,24.95,45.0,20.0,-87.4890382,35.9919004,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055","Love's Travel Stop, Dickson, TN","Gas station, Truck repair, Food/ Convenience store",43,-87.4890382,35.9919004,236.2102874,168.3684712,45.62831197,45.79461218,24.95,169,Yes
sensitech-AE50982,13,36.46666667,45.0,20.0,-87.4890382,35.9919004,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055","Love's Travel Stop, Dickson, TN","Gas station, Truck repair, Food/ Convenience store",43,-87.4890382,35.9919004,236.2102874,168.3684712,45.62831197,45.79461218,36.46666667,169,Yes
sensitech-AE53511,13,24.91666667,45.0,20.0,-87.4890382,35.9919004,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055","Love's Travel Stop, Dickson, TN","Gas station, Truck repair, Food/ Convenience store",43,-87.4890382,35.9919004,236.2102874,168.3684712,45.62831197,45.79461218,24.91666667,169,Yes
sensitech-AE57671,13,41.05,45.0,20.0,-87.4890382,35.9919004,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055","Love's Travel Stop, Dickson, TN","Gas station, Truck repair, Food/ Convenience store",43,-87.4890382,35.9919004,236.2102874,168.3684712,45.62831197,45.79461218,41.05,169,Yes
sensitech-AE57679,13,28.81666667,45.0,20.0,-87.4890382,35.9919004,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055","Love's Travel Stop, Dickson, TN","Gas station, Truck repair, Food/ Convenience store",43,-87.4890382,35.9919004,236.2102874,168.3684712,45.62831197,45.79461218,28.81666667,169,Yes
sensitech-AE57687,13,21.7,45.0,20.0,-87.4890382,35.9919004,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055","Love's Travel Stop, Dickson, TN","Gas station, Truck repair, Food/ Convenience store",43,-87.4890382,35.9919004,236.2102874,168.3684712,45.62831197,45.79461218,21.7,169,Yes
sensitech-AE58928,13,24.9,45.0,20.0,-87.4890382,35.9919004,45.62831197,"2971 State Hwy 48 S, Dickson, TN 37055","Love's Travel Stop, Dickson, TN","Gas station, Truck repair, Food/ Convenience store",43,-87.4890382,35.9919004,236.2102874,168.3684712,45.62831197,45.79461218,24.9,169,Yes
