hour,Count,Route
17,85,Bypass
18,23,Bypass
19,6,Bypass
16,5,Bypass
21,3,Bypass
22,2,Bypass
8,1,Bypass
0,1,Bypass
2,1,Bypass
6,1,Bypass
18,4,City
17,2,City
21,1,City
