hour,Count,Route
11,35,Bypass
10,7,Bypass
9,6,Bypass
4,2,Bypass
13,2,Bypass
3,1,Bypass
6,1,Bypass
12,1,Bypass
11,56,City
3,17,City
10,14,City
12,14,City
13,6,City
4,5,City
14,4,City
16,4,City
9,4,City
8,4,City
5,2,City
17,1,City
22,1,City
7,1,City
15,1,City
18,1,City
