hour,Count,Route
17,66,Bypass
9,45,Bypass
10,29,Bypass
18,17,Bypass
12,2,Bypass
16,2,Bypass
13,2,Bypass
22,2,Bypass
15,1,Bypass
20,1,Bypass
0,1,Bypass
19,1,Bypass
10,4,City
20,2,City
17,2,City
